"Recipient","Year","Import","Regime"
"India","1950",141,"Autocratic"
"India","1951",277,"Electoral Authoritarian"
"India","1952",104,"Minimally Democratic"
"India","1953",430,"Minimally Democratic"
"India","1954",265,"Minimally Democratic"
"India","1955",350,"Minimally Democratic"
"India","1956",366,"Minimally Democratic"
"India","1957",980,"Democratic"
"India","1958",954,"Democratic"
"India","1959",855,"Democratic"
"India","1960",544,"Democratic"
"India","1961",1147,"Democratic"
"India","1962",396,"Democratic"
"India","1963",681,"Democratic"
"India","1964",955,"Democratic"
"India","1965",1086,"Democratic"
"India","1966",1007,"Democratic"
"India","1967",1277,"Democratic"
"India","1968",1665,"Democratic"
"India","1969",1515,"Democratic"
"India","1970",878,"Democratic"
"India","1971",1881,"Democratic"
"India","1972",1828,"Democratic"
"India","1973",1351,"Democratic"
"India","1974",1326,"Democratic"
"India","1975",1133,"Electoral Authoritarian"
"India","1976",1941,"Electoral Authoritarian"
"India","1977",2374,"Electoral Authoritarian"
"India","1978",1194,"Democratic"
"India","1979",1199,"Democratic"
"India","1980",1768,"Democratic"
"India","1981",2123,"Democratic"
"India","1982",2275,"Democratic"
"India","1983",2637,"Democratic"
"India","1984",2785,"Democratic"
"India","1985",3004,"Democratic"
"India","1986",4249,"Democratic"
"India","1987",3922,"Democratic"
"India","1988",3855,"Democratic"
"India","1989",3676,"Democratic"
"India","1990",2832,"Democratic"
"India","1991",1873,"Democratic"
"India","1992",1187,"Democratic"
"India","1993",735,"Democratic"
"India","1994",872,"Democratic"
"India","1995",1396,"Democratic"
"India","1996",822,"Democratic"
"India","1997",1665,"Democratic"
"India","1998",797,"Democratic"
"India","1999",1212,"Democratic"
"India","2000",987,"Democratic"
"India","2001",1169,"Democratic"
"India","2002",2001,"Democratic"
"India","2003",2738,"Democratic"
"India","2004",2212,"Democratic"
"India","2005",1194,"Democratic"
"India","2006",1479,"Democratic"
"India","2007",2276,"Democratic"
"India","2008",1624,"Democratic"
"India","2009",1937,"Democratic"
"India","2010",2886,"Democratic"
"India","2011",3613,"Democratic"
"India","2012",4429,"Democratic"
"India","2013",5242,"Democratic"
"India","2014",3201,"Democratic"
"India","2015",2724,"Democratic"
"India","2016",2553,"Democratic"
"India","2017",2656,"Electoral Authoritarian"
"India","2018",2006,"Electoral Authoritarian"
"India","2019",3147,"Electoral Authoritarian"
"India","2020",2637,"Electoral Authoritarian"
"India","2021",3959,"Electoral Authoritarian"
