leg_black,treat_out,responded,totalpop,medianhhincom,black_medianhh,white_medianhh,blackpercent,statessquireindex,nonblacknonwhite,urbanpercent,leg_senator,leg_democrat,south
0,0,0,1.5873,5.0625,2.6814,2.6586,0.007119007,22.69999981,0,0.695601523,0,0,0
0,0,1,1.6218,4.9713,2.7126,2.6619,0.005796029,22.69999981,0,0.618073165,0,0,0
0,0,1,1.671,6.9646,2.3087,2.9973,0.012028725,22.69999981,0,0.824331462,0,0,0
0,0,1,1.6122,4.1811,2.4668,2.4887,0.004279866,22.69999981,1,0,0,0,0
0,1,1,1.5622,3.1152,2.149,2.0597,0.008257585,22.69999981,1,0,0,1,0
0,1,0,1.6236,6.0678,1.9856,2.7017,0.011825573,22.69999981,0,0.358322948,0,0,0
0,1,1,1.6426,5.503,2.409,2.7584,0.027030317,22.69999981,0,0.382215321,0,1,0
0,0,0,1.6872,4.2315,1.7252,2.406,0.097735904,22.69999981,1,0.997706175,0,1,0
0,0,1,3.2091,5.0087,2.6918,2.6602,0.006450408,22.69999981,0,0.657326102,1,0,0
0,1,0,3.1744,3.6754,2.202,2.3071,0.006237399,22.69999981,1,0,1,1,0
0,0,1,3.2662,5.8125,2.2989,2.7298,0.019472169,22.69999981,0,0.370832413,1,1,0
0,1,0,3.3567,4.0456,1.5235,2.2835,0.112908512,22.69999981,0,0.954435706,1,1,0
0,1,0,3.407,5.5846,3.2087,2.3325,0.011447021,22.69999981,0,0.621201634,1,0,0
0,0,1,3.3792,4.9515,1.761,2.2931,0.008463542,22.69999981,0,0.122447766,1,0,0
0,1,0,3.293,5.41,1.4079,2.2818,0.08050409,22.69999981,0,0.988361657,1,0,0
0,0,1,3.466,4.2901,1.6628,2.3829,0.124120019,22.69999981,0,1,1,1,0
0,1,0,3.3844,4.8244,2.0547,3.1062,0.037140999,22.69999981,0,1,1,1,0
0,1,0,3.2244,8.4555,2.3908,3.6114,0.014049125,22.69999981,0,0.691353858,1,0,0
0,1,1,3.4233,4.7626,1.4066,2.209,0.00572547,22.69999981,0,0.210658297,1,0,0
0,0,1,3.2932,4.8314,1.2305,2.4215,0.009413337,22.69999981,0,0.259914041,1,0,0
0,0,1,3.1357,4.3254,2.2469,3.2214,0.011512581,22.69999981,1,0.191859469,1,1,0
